WHORegionName,Year,Iso3,CountryTerritoryArea,Specimen,PathogenName,AntibioticName,InterpretableAST,Resistant,ResistancePercentage,SourceFile
African Region,2021,ETH,Ethiopia,Bloodstream,Acinetobacter spp.,Meropenem,50,27,54,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,GHA,Ghana,Bloodstream,Acinetobacter spp.,Meropenem,55,45,81.818181818,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,KEN,Kenya,Bloodstream,Acinetobacter spp.,Meropenem,20,12,60,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Meropenem,256,191,74.609375,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,MOZ,Mozambique,Bloodstream,Acinetobacter spp.,Meropenem,13,3,23.076923077,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Meropenem,4879,3993,81.840541094,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,TZA,United Republic of Tanzania,Bloodstream,Acinetobacter spp.,Meropenem,53,12,22.641509434,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,ZMB,Zambia,Bloodstream,Acinetobacter spp.,Meropenem,13,4,30.769230769,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2022,BEN,Benin,Bloodstream,Acinetobacter spp.,Imipenem,147,44,29.931972789,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,CMR,Cameroon,Bloodstream,Acinetobacter spp.,Imipenem,18,5,27.777777778,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,ETH,Ethiopia,Bloodstream,Acinetobacter spp.,Imipenem,28,18,64.285714286,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Imipenem,211,173,81.990521327,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,MOZ,Mozambique,Bloodstream,Acinetobacter spp.,Imipenem,20,12,60,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,NAM,Namibia,Bloodstream,Acinetobacter spp.,Imipenem,34,13,38.235294118,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Imipenem,5455,3846,70.504124656,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,BEN,Benin,Bloodstream,Acinetobacter spp.,Meropenem,145,47,32.413793103,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,CMR,Cameroon,Bloodstream,Acinetobacter spp.,Meropenem,14,4,28.571428571,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,ETH,Ethiopia,Bloodstream,Acinetobacter spp.,Meropenem,107,59,55.140186916,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,GHA,Ghana,Bloodstream,Acinetobacter spp.,Meropenem,40,9,22.5,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Meropenem,211,174,82.464454976,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,MOZ,Mozambique,Bloodstream,Acinetobacter spp.,Meropenem,20,7,35,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,NAM,Namibia,Bloodstream,Acinetobacter spp.,Meropenem,34,13,38.235294118,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Meropenem,5461,3917,71.726789965,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2022,TZA,United Republic of Tanzania,Bloodstream,Acinetobacter spp.,Meropenem,164,78,47.56097561,Resistance_to_antibiotics_in_2022_African_Region-Bloodstream.csv
African Region,2023,DZA,Algeria,Bloodstream,Acinetobacter spp.,Imipenem,211,180,85.308056872,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,BEN,Benin,Bloodstream,Acinetobacter spp.,Imipenem,166,52,31.325301205,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,BFA,Burkina Faso,Bloodstream,Acinetobacter spp.,Imipenem,16,10,62.5,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,CMR,Cameroon,Bloodstream,Acinetobacter spp.,Imipenem,20,6,30,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,COD,Democratic Republic of the Congo,Bloodstream,Acinetobacter spp.,Imipenem,21,16,76.19047619,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,ETH,Ethiopia,Bloodstream,Acinetobacter spp.,Imipenem,28,12,42.857142857,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,MLI,Mali,Bloodstream,Acinetobacter spp.,Imipenem,20,7,35,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Imipenem,213,179,84.037558685,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Imipenem,5873,4157,70.781542653,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,TZA,United Republic of Tanzania,Bloodstream,Acinetobacter spp.,Imipenem,31,16,51.612903226,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,ZMB,Zambia,Bloodstream,Acinetobacter spp.,Imipenem,20,4,20,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,DZA,Algeria,Bloodstream,Acinetobacter spp.,Meropenem,33,31,93.939393939,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,BEN,Benin,Bloodstream,Acinetobacter spp.,Meropenem,159,51,32.075471698,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,BFA,Burkina Faso,Bloodstream,Acinetobacter spp.,Meropenem,11,7,63.636363636,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,ETH,Ethiopia,Bloodstream,Acinetobacter spp.,Meropenem,361,165,45.706371191,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,GHA,Ghana,Bloodstream,Acinetobacter spp.,Meropenem,18,9,50,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,KEN,Kenya,Bloodstream,Acinetobacter spp.,Meropenem,72,50,69.444444444,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,MWI,Malawi,Bloodstream,Acinetobacter spp.,Meropenem,53,22,41.509433962,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,MLI,Mali,Bloodstream,Acinetobacter spp.,Meropenem,10,4,40,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Meropenem,213,181,84.976525822,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,NGA,Nigeria,Bloodstream,Acinetobacter spp.,Meropenem,24,12,50,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Meropenem,5847,4243,72.567128442,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,TZA,United Republic of Tanzania,Bloodstream,Acinetobacter spp.,Meropenem,220,107,48.636363636,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
African Region,2023,ZMB,Zambia,Bloodstream,Acinetobacter spp.,Meropenem,15,9,60,Resistance_to_antibiotics_in_2023_African_Region-Bloodstream.csv
Eastern Mediterranean Region,2020,BHR,Bahrain,Bloodstream,Acinetobacter spp.,Imipenem,96,88,91.666666667,1784926664571_Resistance_to_antibiotics_in_2020_Eastern_Mediterranean_Region-Bloodstream.csv
Eastern Mediterranean Region,2020,DJI,Djibouti,Bloodstream,Acinetobacter spp.,Imipenem,14,0,0,1784926664571_Resistance_to_antibiotics_in_2020_Eastern_Mediterranean_Region-Bloodstream.csv
Eastern Mediterranean Region,2020,EGY,Egypt,Bloodstream,Acinetobacter spp.,Imipenem,42,29,69.047619048,1784926664571_Resistance_to_antibiotics_in_2020_Eastern_Mediterranean_Region-Bloodstream.csv
